Visit_ID,Tourist_Origin,Destination _City,Destination_Type,Visitor_Type,Season,Visit_Date,Visitors_Count,Average_Rating,Revenue_USD,Average_Spending
VIS28,Indonesia,Kuala Lumpur,City Tourism,International,Monsoon,5/16/2022,3037,3.82,303081.88,99.7964702
VIS29,Thailand,Kerala,Heritage,Domestic,Winter,2/10/2024,2462,3.2,691555.34,280.8916897
VIS30,Italy,Kuala Lumpur,Adventure,International,Winter,3/8/2022,2818,3.19,217006.42,77.00724627
VIS31,Italy,Kerala,City Tourism,International,Monsoon,1/8/2021,2742,2.78,646874.49,235.9133807
VIS32,Malaysia,Singapore,Wildlife,Domestic,Summer,11/2/2021,4479,4.75,134763.61,30.08787899
VIS33,France,Kerala,Heritage,International,Monsoon,3/23/2021,2941,3.09,231813.83,78.82143149
VIS34,Dubai,Kerala,City Tourism,International,Summer,11/29/2021,1460,4.53,389522.94,266.7965342
VIS35,Thailand,Bangkok,Beach,International,Winter,7/1/2022,1314,3.37,315970.83,240.464863
VIS36,France,Bangkok,Heritage,International,Winter,4/12/2022,1836,4.1,48885.41,26.62604031
VIS37,Goa,Kerala,Heritage,Domestic,Monsoon,3/30/2023,4402,2.77,496202.08,112.7219627
VIS38,Malaysia,Bangkok,Wildlife,Domestic,Summer,6/9/2023,2841,2.61,636363.02,223.9926153
VIS39,France,Rome,Adventure,Domestic,Monsoon,6/13/2023,23,4.16,3808.29,165.5778261
VIS40,Singapore,Rome,Adventure,International,Monsoon,9/13/2021,2470,4.85,400125.92,161.9942996
VIS41,India,Paris,Heritage,Domestic,Summer,12/23/2021,4672,3.31,487130.59,104.2659653
VIS42,Indonesia,Kerala,City Tourism,Domestic,Summer,6/24/2023,3632,3.34,759725.87,209.175625
VIS43,France,India,Beach,Domestic,Winter,4/27/2022,2552,4.42,211559.23,82.8993848
VIS44,France,Bangkok,Adventure,International,Winter,7/22/2023,3405,4.73,912942.93,268.1183348
VIS45,Indonesia,India,Wildlife,Domestic,Winter,8/7/2021,3492,4.17,283814.11,81.27551833
VIS46,Indonesia,Singapore,City Tourism,International,Monsoon,2/19/2024,4887,4.65,531917.83,108.8434275
VIS47,Italy,Kuala Lumpur,Adventure,Domestic,Summer,7/11/2023,2133,3.09,491651.17,230.4975012
VIS48,Thailand,Kerala,Hill Station,Domestic,Summer,11/19/2022,2629,2.66,709954.91,270.0475124
VIS49,Singapore,India,Hill Station,International,Summer,4/15/2023,2720,4.24,467652.64,171.9311176
VIS50,Malaysia,Paris,Adventure,International,Monsoon,3/25/2024,3126,4.01,480010.82,153.554325
VIS51,Singapore,Bali,Beach,International,Summer,3/28/2022,4009,4.31,326485.17,81.43805687
VIS52,India,Bangkok,Wildlife,Domestic,Winter,8/16/2023,1055,3.65,310805.27,294.6021517
VIS53,France,Bali,Heritage,International,Summer,4/13/2021,2141,3.55,270085.18,126.1490799
VIS54,India,Rome,Hill Station,Domestic,Monsoon,6/17/2021,3862,3.12,98200.31,25.42732004
VIS55,Indonesia,Munnar,Wildlife,Domestic,Summer,2/11/2021,1258,2.92,109185.07,86.79258347
VIS56,Thailand,Singapore,Beach,International,,8/23/2021,1351,3.49,391954.57,290.1218135
VIS57,France,Kerala,City Tourism,International,Monsoon,2/11/2022,632,4.96,117417.64,185.7874051
VIS58,Dubai,Munnar,Wildlife,International,Winter,3/26/2021,2854,2.76,482807.38,169.1686685
VIS59,Singapore,Alappuzha,City Tourism,International,Monsoon,1/12/2023,3776,3.71,823343.28,218.0464195
VIS60,France,Kerala,Heritage,International,Winter,6/12/2023,4863,4.17,462718.1,95.15075057
VIS61,Malaysia,Alappuzha,Adventure,Domestic,Summer,11/20/2022,245,4.7,38809.43,158.4058367
VIS62,France,Munnar,Hill Station,International,Summer,7/20/2022,4563,3.69,104229.47,22.84231208
VIS63,Thailand,Paris,Hill Station,International,Monsoon,10/3/2023,3681,3.42,890880.05,242.0212035
VIS64,Malaysia,Rome,City Tourism,International,Summer,2/8/2024,4359,4.3,506742.77,116.2520693
VIS65,Dubai,kerala,Hill Station,International,Summer,10/9/2022,989,3.81,225498.62,228.0066936
VIS66,Italy,Dubai,Heritage,Domestic,Summer,8/3/2022,833,3.19,210862.24,253.1359424
VIS67,Dubai,Bali,Beach,Domestic,Monsoon,4/22/2021,4543,3.35,462469.5,101.7982611
VIS68,Indonesia,Munnar,Beach,International,Summer,4/16/2021,2078,2.63,589108.44,283.4978056
VIS69,Thailand,Dubai,Beach,International,Monsoon,11/2/2021,4620,4.44,1320188.93,285.7551797
VIS70,Italy,Singapore,Adventure,International,Monsoon,2/19/2023,3700,4.35,1015210.54,274.381227
VIS71,Thailand,Alappuzha,Hill Station,Domestic,Monsoon,3/2/2022,,3.63,163547.39,0
VIS72,Italy,Bali,City Tourism,International,Winter,8/21/2023,2395,4.47,69788.29,29.13916075
VIS73,France,Alappuzha,Heritage,Domestic,Winter,2/10/2022,3492,3.99,182063.68,52.13736541
VIS74,Indonesia,Paris,City Tourism,International,Summer,3/11/2024,2374,2.7,339394.08,142.9629655
VIS75,Italy,Kochi,Beach,Domestic,Monsoon,3/23/2021,3549,4.88,800901.05,225.6694985
VIS76,Dubai,Bali,Wildlife,International,,7/6/2022,4730,4.09,147882.83,31.26486892
VIS77,Singapore,Rome,Heritage,Domestic,Winter,10/5/2023,757,3.22,114763.4,151.6029062
VIS78,Thailand,Rome,Heritage,International,Winter,4/1/2023,4516,3.79,136722.79,30.27519708
VIS79,India,Dubai,Wildlife,International,Monsoon,1/3/2021,4454,4.4,665219.94,149.3533767
VIS80,Italy,Bali,City Tourism,International,Winter,2/21/2022,2197,4.5,381797.95,173.7814975
VIS81,Singapore,Munnar,Hill Station,Domestic,Summer,11/21/2021,2555,2.88,445170.23,174.2349237
VIS82,Singapore,Bali,Adventure,Domestic,Summer,8/21/2022,4178,4.8,908778.74,217.5152561
VIS83,Italy,Bangkok,Heritage,International,Winter,11/7/2023,1128,3.97,295454.27,261.9275443
VIS84,Indonesia,Rome,Heritage,International,Summer,9/30/2023,1227,4.95,177955.82,145.0332681
VIS85,Singapore,Kochi,Heritage,International,Monsoon,5/5/2022,4694,4.97,597226.25,127.2318385
VIS86,Dubai,Kuala Lumpur,Wildlife,International,Winter,11/8/2021,4067,3.81,1180043.48,290.1508434
VIS87,Singapore,Alappuzha,Beach,International,Summer,7/25/2023,135,4.12,30008.38,222.2842963
VIS88,Malaysia,Bali,Wildlife,Domestic,Monsoon,11/4/2022,4381,4.8,553769.93,126.4026318
VIS89,Thailand,Munnar,Adventure,Domestic,Monsoon,4/11/2022,750,3.31,106134.01,141.5120133
VIS90,Singapore,Alappuzha,Hill Station,International,Monsoon,4/25/2021,2413,2.94,290452.17,120.3697348
VIS91,Dubai,kerala,Adventure,International,Summer,2/23/2023,,4.51,315825.42,0
VIS92,Indonesia,Rome,Wildlife,International,Monsoon,8/13/2022,4487,3.64,288214.25,64.23317361
VIS93,Indonesia,Munnar,Hill Station,International,Monsoon,9/11/2022,1641,4.25,492012.17,299.8246009
VIS94,India,Singapore,City Tourism,International,Summer,2/14/2021,3252,4.5,314970.85,96.85450492
VIS95,dubai,Munnar,City Tourism,Domestic,Summer,3/25/2022,1567,3.41,303762.21,193.8495278
VIS96,Malaysia,Bangkok,Hill Station,Domestic,Winter,9/27/2021,748,3.41,205472.45,274.6957888
VIS97,Italy,Bali,Heritage,International,Winter,10/25/2023,2242,4.39,566177.49,252.5323327
VIS98,Malaysia,Munnar,Adventure,Domestic,,4/8/2022,3265,4.18,949578,290.8355283
VIS99,Malaysia,Munnar,City Tourism,Domestic,Summer,6/21/2022,4798,3.9,607844.9,126.6871405
VIS100,Indonesia,Paris,City Tourism,International,Winter,3/30/2022,527,3.26,104300.2,197.913093
VIS101,Dubai,,Adventure,International,Monsoon,10/6/2023,961,3.85,45372.42,47.2137565
VIS102,Indonesia,Singapore,Adventure,International,Winter,11/13/2021,3408,3.61,693112.67,203.3781309
VIS103,Malaysia,Kuala Lumpur,City Tourism,International,Winter,4/29/2022,2981,2.81,142549.32,47.81929554
VIS104,Delhi,Kochi,Heritage,Domestic,Winter,7/21/2023,760,4.57,156237.19,205.57525
VIS105,France,Dubai,Hill Station,Domestic,Summer,2/10/2024,1707,2.82,314407.66,184.1872642
VIS106,Italy,Alappuzha,Beach,International,Winter,5/29/2022,,3.16,73071.52,0
VIS107,Thailand,Bali,Adventure,International,Monsoon,9/17/2021,3458,3.05,578537.05,167.3039474
VIS108,India,Bangkok,Adventure,International,Summer,3/30/2021,4281,4.77,447178.24,104.4564915
VIS109,Dubai,Munnar,Hill Station,International,Monsoon,5/31/2021,671,3.31,73938.37,110.1913115
VIS110,Singapore,Munnar,City Tourism,Domestic,Monsoon,12/23/2023,2425,4.3,356572.77,147.0403175
VIS111,France,Bangkok,Heritage,International,Summer,3/17/2022,3533,3.57,517356.19,146.4353779
VIS112,Indonesia,Munnar,Beach,Domestic,Winter,6/7/2022,3076,3.43,882830.16,287.0059038
VIS113,Malaysia,Munnar,Adventure,International,Monsoon,9/24/2021,4567,4.79,168041.28,36.79467484
VIS114,Malaysia,Munnar,Wildlife,Domestic,Winter,4/16/2021,2366,2.77,445079.68,188.1148267
VIS115,Italy,Singapore,Hill Station,International,Monsoon,2/14/2024,3021,4.03,157599.19,52.16788812
VIS116,Italy,Kochi,Hill Station,International,Monsoon,2/15/2024,225,3.38,42866.68,190.5185778
VIS117,Singapore,Munnar,Hill Station,Domestic,Winter,1/7/2022,1183,3.55,211248.2,178.569907
VIS118,Malaysia,Singapore,Wildlife,Domestic,Winter,11/30/2022,1299,2.62,160575.71,123.6148653
VIS119,Singapore,Bali,Wildlife,International,Summer,6/17/2021,2239,2.78,322576.39,144.0716347
VIS120,Indonesia,Kuala Lumpur,City Tourism,International,Winter,5/31/2023,918,2.64,91165.67,99.30900871
VIS121,Dubai,Paris,Heritage,International,Winter,,2479,2.94,705748.36,284.6907463
VIS122,Malaysia,Munnar,Adventure,Domestic,Summer,2/18/2023,4372,4.66,948846.21,217.0279529
VIS123,Singapore,Paris,Beach,International,Winter,3/25/2024,3526,4.87,636626.04,180.5519115
VIS124,Thailand,Dubai,Adventure,International,Monsoon,8/1/2023,2974,4.36,132867.51,44.67636516
VIS125,Thailand,Kuala Lumpur,City Tourism,Domestic,Monsoon,3/30/2022,2738,3.37,652062.92,238.1530022
VIS126,Italy,Dubai,Hill Station,Domestic,Monsoon,10/30/2021,1945,4.07,94887.35,48.78526992
VIS127,Indonesia,Singapore,City Tourism,International,Monsoon,8/9/2023,4628,3.67,1077239.21,232.7656029
VIS128,Malaysia,Lakshadweep,Beach,International,Summer,9/13/2022,2260,4.58,419450.42,185.597531
VIS129,Singapore,Bali,Wildlife,Domestic,Summer,6/7/2021,749,2.97,143959.56,192.2023498
VIS130,India,Bali,Beach,International,Monsoon,9/2/2023,4117,2.6,256246.61,62.24110032
VIS131,Dubai,Rome,Heritage,International,Summer,6/16/2023,3609,3.99,601761.75,166.7391937
VIS132,Singapore,Paris,Heritage,Domestic,Summer,11/17/2022,549,4.79,61660.06,112.3134062
VIS133,Thailand,Paris,Wildlife,International,Monsoon,9/28/2022,3220,4.18,180662.82,56.10646584
VIS134,Singapore,Kuala Lumpur,Heritage,Domestic,Summer,12/15/2023,775,3.35,155687.39,200.8869548
VIS135,Dubai,Alappuzha,Beach,International,Winter,9/23/2023,1582,4.35,131989.51,83.43205436
VIS136,Dubai,Singapore,Adventure,Domestic,Winter,12/15/2023,319,4.06,65503.52,205.3401881
VIS137,Malaysia,Dubai,Adventure,International,Monsoon,12/6/2021,3595,3.1,115880.8,32.23388039
VIS138,Indonesia,Rome,Heritage,International,Monsoon,8/19/2023,1599,4.54,196669.75,122.9954659
VIS139,Indonesia,Rome,Wildlife,Domestic,Monsoon,10/11/2021,2058,3.21,71228.09,34.610345
VIS140,Dubai,Bangkok,Beach,Domestic,Summer,11/25/2021,2244,3.54,327196.25,145.8093806
VIS141,Singapore,Munnar,Heritage,Domestic,Winter,3/23/2023,4122,4.29,514051.39,124.7092164
VIS142,Italy,Bali,City Tourism,Domestic,Monsoon,11/18/2022,1206,4.76,70584.63,58.52788557
VIS143,Dubai,Kuala Lumpur,City Tourism,International,Winter,2/8/2021,2106,2.8,169287.29,80.38332858
VIS144,Indonesia,Munnar,Beach,International,Monsoon,5/4/2022,3449,3.94,686028.47,198.9064859
VIS145,Malaysia,Dubai,Wildlife,International,Winter,10/22/2021,2396,4.94,335887.79,140.1868907
VIS146,India,Bangkok,Adventure,Domestic,Monsoon,5/19/2021,4319,4.37,744349.2,172.3429498
VIS147,Thailand,Singapore,City Tourism,International,Winter,1/2/2023,563,4.53,65614.67,116.5447069
VIS148,Indonesia,Alappuzha,Hill Station,Domestic,Monsoon,12/25/2021,3816,3.23,1124305.68,294.6293711
VIS149,Malaysia,Paris,Wildlife,International,Monsoon,3/31/2021,1644,4.12,440627.03,268.0213078
VIS150,India,Rome,Heritage,Domestic,Summer,8/9/2022,2934,3.6,766944.05,261.39879
VIS151,Indonesia,kerala,Heritage,International,Winter,3/3/2023,2787,4.01,815594.94,292.642605
VIS152,Thailand,Munnar,Heritage,International,Summer,1/5/2022,4478,2.92,457896.09,102.254598
VIS153,Malaysia,Singapore,Adventure,International,Monsoon,6/29/2023,2889,2.69,419472.12,145.1963032
VIS154,Dubai,Kochi,Hill Station,International,Winter,4/12/2023,2986,4.11,488700.96,163.6640857
VIS155,India,Singapore,Hill Station,International,Summer,1/12/2023,3146,3.93,899286.59,285.8507915
VIS156,Italy,Dubai,Beach,Domestic,Monsoon,12/21/2023,3016,4.78,396451.79,131.4495325
VIS157,Indonesia,Dubai,Wildlife,International,Monsoon,8/30/2021,2154,2.81,510476.58,236.9900557
VIS158,Indonesia,Munnar,City Tourism,International,Monsoon,6/1/2021,3713,3.86,253760.46,68.34378131
VIS159,Dubai,Rome,Wildlife,Domestic,Winter,9/7/2022,1300,3.09,285098.51,219.3065462
VIS160,Malaysia,kerala,Wildlife,Domestic,Monsoon,10/9/2023,225,3.5,27236.48,121.0510222
VIS161,Singapore,Singapore,Beach,Domestic,Summer,9/8/2023,4316,4.2,582757.69,135.0226344
VIS162,Dubai,Alappuzha,Adventure,Domestic,Winter,12/7/2022,1061,2.9,282044.4,265.8288407
VIS163,Dubai,Munnar,Heritage,Domestic,Monsoon,4/7/2022,2844,4.06,811379.77,285.2952778
VIS164,Dubai,Singapore,Wildlife,Domestic,Winter,12/29/2023,775,4.01,124558.37,160.7204774
VIS165,India,Munnar,Beach,International,Monsoon,2/29/2024,347,4.05,87119.96,251.0661671
VIS166,Italy,Paris,Adventure,Domestic,Monsoon,3/4/2021,4089,4.22,1099610.31,268.9191269
VIS167,Indonesia,Dubai,Heritage,Domestic,Summer,11/20/2021,3611,4.97,492446.84,136.3740903
VIS168,Malaysia,Kuala Lumpur,Wildlife,Domestic,Summer,12/9/2022,3276,3.62,185469.18,56.61452381
VIS169,Singapore,Singapore,Adventure,Domestic,Winter,10/16/2021,803,4.3,27438.09,34.16947696
VIS170,Indonesia,Malaysia,Heritage,International,Winter,1/24/2022,1315,3.64,209761.37,159.5143498
VIS171,Singapore,Kochi,Heritage,International,Monsoon,5/9/2022,1772,3.68,324872.01,183.3363488
VIS172,Singapore,Alappuzha,Heritage,International,Summer,1/5/2024,76,3.93,19547.83,257.2082895
VIS173,Thailand,Bangkok,Wildlife,International,Monsoon,2/3/2022,2979,4.2,521034.31,174.9024203
VIS174,Singapore,Rome,Heritage,International,Winter,9/1/2021,1064,3.75,311776.67,293.0231861
VIS175,Malaysia,Bali,Wildlife,International,Winter,4/3/2021,328,3.32,19145.42,58.37018293
VIS176,Italy,Singapore,Heritage,International,Monsoon,10/15/2022,1341,2.54,174366.59,130.0272856
VIS177,Italy,Kochi,Wildlife,International,Summer,11/10/2022,907,4.44,266994.9,294.3714443
VIS178,Indonesia,Alappuzha,Wildlife,International,Winter,3/28/2024,1874,3.93,416013.07,221.9920331
VIS179,Malaysia,Bangkok,Hill Station,International,Monsoon,8/14/2021,1572,4.03,39775.47,25.30246183
VIS180,France,Kuala Lumpur,Heritage,International,Monsoon,8/24/2023,520,3.65,113160.87,217.6170577
VIS181,Italy,Singapore,Adventure,Domestic,Winter,12/28/2023,2814,4.85,486699.59,172.9564996
VIS182,Indonesia,Rome,Adventure,International,Monsoon,9/2/2022,2377,3.18,516693.87,217.3722634
VIS183,Singapore,Bangkok,Heritage,Domestic,Summer,9/7/2021,4707,2.7,985901.06,209.4542299
VIS184,France,Dubai,Wildlife,International,Monsoon,6/25/2023,2110,4.04,483727.59,229.254782
VIS185,France,Dubai,Beach,Domestic,Summer,5/6/2022,1996,4.2,68291.78,34.21431864
VIS186,Dubai,Bangkok,City Tourism,International,Summer,10/9/2021,52,3.22,15083.39,290.0651923
VIS187,Thailand,Singapore,Hill Station,Domestic,Winter,8/8/2022,494,4.83,135465.84,274.2223482
VIS188,Dubai,Paris,Beach,Domestic,Summer,3/16/2021,3262,4.96,784931.72,240.6289761
VIS189,Indonesia,Alappuzha,Wildlife,International,Summer,8/6/2022,3732,2.91,1108209.38,296.947851
VIS190,India,Rome,Heritage,Domestic,Winter,7/29/2023,2117,3.51,468296.25,221.207487
VIS191,Singapore,Munnar,,Domestic,Summer,5/26/2023,4231,3.15,473108.15,111.8194635
VIS192,Malaysia,Paris,Wildlife,Domestic,Summer,4/28/2022,3669,2.66,847729.28,231.0518615
VIS193,Singapore,Kuala Lumpur,City Tourism,International,Monsoon,8/31/2021,3822,3.24,404771.87,105.9057745
VIS194,Indonesia,Alappuzha,Adventure,International,,3/29/2022,1805,4.39,519950.02,288.0609529
VIS195,Thailand,Kuala Lumpur,Adventure,International,Winter,3/24/2022,2037,4.57,428779.82,210.4957388
VIS196,Dubai,Alappuzha,Heritage,International,Winter,11/2/2023,1666,3.72,300473.88,180.3564706
VIS197,Indonesia,Alappuzha,Wildlife,International,Summer,11/12/2023,3659,4.18,901701.21,246.4337825
VIS198,India,Dubai,Wildlife,Domestic,Winter,9/24/2022,188,3.85,24602.74,130.8656383
VIS199,Indonesia,Kochi,Heritage,International,Winter,5/4/2021,575,4.95,170268.1,296.1184348
VIS200,Singapore,Bali,Adventure,International,Winter,5/11/2023,3077,3.85,916945.53,297.9998473
VIS201,Singapore,Kuala Lumpur,Hill Station,Domestic,Winter,12/14/2022,981,3.66,68643.14,69.97261978
VIS202,France,Dubai,Adventure,International,Winter,1/21/2024,3484,4.31,588591.87,168.9414093
VIS203,Singapore,Singapore,Beach,Domestic,Winter,8/20/2021,273,3.62,67336.51,246.6538828
VIS204,Singapore,Bali,Hill Station,Domestic,Winter,4/10/2021,2014,3.09,457885.92,227.3514995
VIS205,Malaysia,Dubai,Heritage,Domestic,Monsoon,3/25/2024,2622,3.19,476398.91,181.6929481
VIS206,Dubai,Bangkok,Wildlife,International,Winter,2/15/2024,4856,4.18,1293249.38,266.3198888
VIS207,Singapore,Alappuzha,Heritage,International,Winter,12/11/2023,2621,4.62,563426.81,214.9663525
VIS208,India,Kuala Lumpur,Adventure,International,Monsoon,9/8/2022,1192,3.14,292775.85,245.6173238
VIS209,Malaysia,Munnar,Wildlife,Domestic,Winter,11/8/2022,657,4.01,182792.71,278.2233029
VIS210,France,Bali,Hill Station,International,Summer,5/30/2021,,4.84,380463.67,0
VIS211,France,Bangkok,Hill Station,International,Summer,8/29/2021,3933,3.4,1085679.33,276.0435622
VIS212,Indonesia,Bali,Beach,International,Summer,6/20/2022,2956,3.53,483567.99,163.5886299
VIS213,India,Paris,Wildlife,International,Summer,2/27/2024,1822,3.45,414597.31,227.5506641
VIS214,Malaysia,Paris,Adventure,International,Summer,5/19/2022,4100,2.92,714137.63,174.1799098
VIS215,India,Kuala Lumpur,Beach,Domestic,Monsoon,1/25/2024,,2.84,286848.84,0
VIS216,India,Dubai,Wildlife,International,Summer,4/19/2022,566,4.83,123392.23,218.0074735
VIS217,Singapore,Kochi,Beach,International,Monsoon,9/17/2023,,4.53,97766.01,0
VIS218,Thailand,Kuala Lumpur,Hill Station,Domestic,Winter,6/1/2023,1478,3.39,73847.68,49.96460081
VIS219,Singapore,Bali,Wildlife,Domestic,Monsoon,3/24/2023,657,4.62,81766.57,124.4544444
VIS220,Singapore,Kuala Lumpur,Adventure,Domestic,Monsoon,,775,3.75,103445.39,133.4779226
VIS221,Thailand,Kuala Lumpur,Beach,Domestic,Winter,6/8/2023,2723,3.92,485891.73,178.4398568
VIS222,Italy,Kuala Lumpur,Wildlife,Domestic,Winter,7/10/2022,391,4.9,108996.96,278.7646036
VIS223,Italy,Alappuzha,,Domestic,Monsoon,10/23/2021,3272,4.74,916438.07,280.0849847
VIS224,Dubai,Munnar,Wildlife,International,Winter,11/11/2022,3154,2.69,730373.65,231.5705929
VIS225,Italy,Bali,Adventure,Domestic,Summer,3/24/2023,2683,2.96,75915.98,28.29518449
VIS226,Italy,Dubai,City Tourism,Domestic,Winter,4/14/2024,3123,4.46,137394.36,43.99435159
VIS227,Thailand,Munnar,Beach,International,Summer,11/12/2021,3201,2.83,347852.36,108.6699032
VIS228,Singapore,Munnar,Beach,Domestic,Summer,1/19/2022,3540,4.46,515693.85,145.6762288
VIS229,Singapore,Munnar,City Tourism,Domestic,Monsoon,2/28/2023,111,2.92,11290.62,101.7172973
VIS230,Dubai,Munnar,Hill Station,International,Summer,7/5/2022,2476,2.69,235601.06,95.15390145
VIS231,Indonesia,Singapore,Wildlife,Domestic,Summer,5/31/2022,2030,4.87,450359.25,221.8518473
VIS232,Malaysia,Bali,Heritage,International,Monsoon,11/12/2022,3122,3.3,765331.48,245.1414094
VIS233,Singapore,Rome,Heritage,International,Monsoon,2/16/2022,3934,3.2,424759.17,107.9713193
VIS234,France,Singapore,Wildlife,Domestic,Monsoon,3/16/2023,3000,4.32,155665.77,51.88859
VIS235,Thailand,Bangkok,,International,Winter,3/6/2022,3601,4.15,876310.36,243.3519467
VIS236,Indonesia,Singapore,Adventure,International,Monsoon,5/17/2023,3098,4.25,126120.32,40.71023886
VIS237,Thailand,Munnar,Hill Station,International,Winter,1/5/2024,4874,4.96,968417.51,198.6905027
VIS238,Singapore,Munnar,Beach,Domestic,Summer,3/30/2023,2726,3.89,791632.3,290.400697
VIS239,Singapore,Bali,City Tourism,Domestic,Summer,3/24/2024,1820,3.24,263568.75,144.8179945
VIS240,Dubai,Rome,Heritage,International,Summer,6/25/2021,960,3.37,242658.21,252.7689688
VIS241,Indonesia,Rome,Beach,International,Winter,7/19/2021,3599,4.62,799547.74,222.1583051
VIS242,France,Kuala Lumpur,Hill Station,Domestic,Summer,8/12/2021,1356,3.08,380192.95,280.3782817
VIS243,Singapore,Bangkok,Beach,Domestic,Summer,4/10/2023,1521,4.26,109798.46,72.18833662
VIS244,Thailand,Singapore,,Domestic,Summer,2/26/2022,2290,3.16,528191.11,230.6511397
VIS245,Malaysia,Singapore,Adventure,International,Monsoon,9/30/2023,4333,3.64,1258548.41,290.4565913
VIS246,Thailand,Alappuzha,Heritage,Domestic,Winter,12/20/2021,2446,4.23,678107.33,277.2311243
VIS247,Dubai,Singapore,Adventure,International,Winter,11/13/2023,3192,4.8,437645.38,137.1069486
VIS248,Italy,Alappuzha,Hill Station,International,Summer,12/21/2021,4555,4.88,303920.29,66.72234687
VIS249,Singapore,Kuala Lumpur,Wildlife,International,Summer,9/20/2023,1128,4.6,84189.38,74.63597518
VIS250,India,Dubai,Heritage,Domestic,Summer,9/28/2023,1380,4.45,59543.93,43.14777536
VIS251,Thailand,Singapore,Beach,International,Monsoon,3/4/2024,4067,4.56,707346.19,173.9233317
VIS252,Singapore,Munnar,City Tourism,Domestic,Summer,3/27/2021,3625,3.16,627048.57,172.9789159
VIS253,Thailand,Dubai,Hill Station,International,Monsoon,6/28/2021,3606,4.04,945786.48,262.2813311
VIS254,Malaysia,Kuala Lumpur,Heritage,Domestic,Summer,2/28/2022,1705,3.93,418617.29,245.5233372
VIS255,Singapore,Kochi,Heritage,Domestic,Monsoon,11/20/2023,790,4.28,45792.27,57.96489873
VIS256,Italy,Bangkok,Adventure,International,Winter,5/22/2022,3227,2.73,506795.33,157.0484444
VIS257,Malaysia,Bali,Adventure,International,Monsoon,,2289,4.33,491029.44,214.5170118
VIS258,Singapore,Dubai,Adventure,Domestic,Summer,7/28/2023,2944,3.34,759639.58,258.0297486
VIS259,Indonesia,Rome,City Tourism,Domestic,Winter,3/29/2024,1079,3.65,192622.85,178.5197868
VIS260,India,Bangkok,Hill Station,Domestic,Monsoon,9/12/2021,1304,4.69,187202.33,143.560069
VIS261,Malaysia,Alappuzha,Beach,International,Monsoon,7/11/2021,2962,3.09,266902.85,90.1089973
VIS262,Indonesia,Munnar,Hill Station,Domestic,Monsoon,7/6/2021,,4.24,16019.99,0
